PostNumber;PostTime;PostModifier
1;1:00;ByComplexRaitingFromPosts
2;2:00;BySimpleRaitingFromArchive
3;3:00;ByComplexRaitingFromPostsNotText
4;4:00;ByComplexRaitingFromPosts
5;5:00;BySimpleRaitingFromArchive
6;6:00;ByComplexRaitingFromPostsNotText
7;7:00;ByComplexRaitingFromPostsNotText
8;8:00;ByComplexRaitingFromPostsNotText
9;8:10;ByComplexRaitingFromPostsNotText
10;8:20;ByComplexRaitingFromPostsNotText
11;8:30;ByComplexRaitingFromPostsNotText
12;8:40;ByComplexRaitingFromPostsNotText
13;8:50;ByComplexRaitingFromPostsNotText
14;9:00;ByComplexRaitingFromPostsNotText
15;9:10;ByComplexRaitingFromPostsNotText
16;9:20;ByComplexRaitingFromPostsNotText
17;9:30;ByComplexRaitingFromPostsNotText
18;9:40;ByComplexRaitingFromPostsNotText
19;9:50;ByComplexRaitingFromPostsNotText
20;10:00;ByComplexRaitingFromPostsNotText
21;11:00;ByComplexRaitingFromPostsNotText
22;12:00;ByComplexRaitingFromPostsNotText
23;13:00;ByComplexRaitingFromPosts
24;14:00;ByComplexRaitingFromPosts
25;15:00;ByComplexRaitingFromPosts
26;16:00;ByComplexRaitingFromPosts
27;17:00;ByComplexRaitingFromPostsNotText
28;17:30;ByComplexRaitingFromPostsNotText
29;18:00;ByComplexRaitingFromPostsNotText
30;18:10;ByComplexRaitingFromPostsNotText
31;18:20;ByComplexRaitingFromPostsNotText
32;18:30;ByComplexRaitingFromPostsNotText
33;18:40;ByComplexRaitingFromPostsNotText
34;18:50;ByComplexRaitingFromPostsNotText
35;19:00;ByComplexRaitingFromPostsNotText
36;19:10;ByComplexRaitingFromPostsNotText
37;19:20;ByComplexRaitingFromPostsNotText
38;19:30;ByComplexRaitingFromPostsNotText
39;20:00;ByComplexRaitingFromPostsNotText
40;20:20;ByComplexRaitingFromPostsNotText
41;20:40;ByComplexRaitingFromPostsNotText
42;21:00;ByComplexRaitingFromPostsNotText
43;21:20;ByComplexRaitingFromPostsNotText
44;21:40;ByComplexRaitingFromPostsNotText
45;22:00;ByComplexRaitingFromPostsNotText
46;22:20;ByComplexRaitingFromPostsNotText
47;22:40;ByComplexRaitingFromPostsNotText
48;23:00;ByComplexRaitingFromPostsNotText
49;0:00;ByComplexRaitingFromPostsNotText
